station_id,latitude,longitude,yearly_avg_temp_c,days_recorded
USR0000AWIG,63.8122,-150.05,-0.05,360
USR0000AWLL,61.765,-150.0503,3.83,357
USR0000AWON,63.4903,-150.8714,-0.56,325
USR0000AYAN,56.9144,-157.0333,7.31,339
USR0000AYEL,36.1542,-113.5417,8.86,363
USR0000AZAR,56.3,-132.8486,7.46,365
USR0000BADG,37.1697,-113.9497,16.73,365
USR0000BEAR,40.8844,-110.8292,2.52,365
USR0000BIGI,38.2244,-109.2783,9.96,365
USR0000BKTL,40.2692,-110.5622,6.64,365
USR0000BLAC,38.9792,-112.2394,9.18,365
USR0000BRIM,38.3083,-113.3847,10.26,365
USR0000BRUN,39.6097,-110.2944,2.7,365
USR0000BRYC,37.6417,-112.1722,4.84,365
USR0000BRYS,39.2933,-109.2372,11.55,365
USR0000BUCF,37.9033,-111.6914,7.08,365
USR0000BUES,41.15,-111.9167,10.33,365
USR0000CABS,40.3983,-122.8333,15.25,365
USR0000CACT,34.4458,-118.2,15.5,365
USR0000CAGD,35.1792,-120.3919,9.96,43
USR0000CALD,39.6514,-122.7236,11.9,365
USR0000CALP,32.8336,-116.7392,16.12,365
USR0000CALT,37.3581,-122.1472,15.27,365
USR0000CANZ,33.555,-116.673,13.56,365
USR0000CAPT,40.1867,-123.5903,13.08,365
USR0000CARR,36.23,-121.4917,15.36,365
USR0000CART,40.8847,-109.4122,6.29,365
USR0000CASC,41.2769,-121.9794,8.13,365
USR0000CBAC,40.8892,-123.1422,10.99,365
USR0000CBAI,39.3794,-105.3394,7.11,365
USR0000CBAL,38.9056,-120.6972,12.53,365
USR0000CBAR,38.0281,-122.7022,13.78,365
USR0000CBAT,37.2319,-119.5083,14.81,365
USR0000CBBR,40.7333,-123.2333,12.72,339
USR0000CBCN,33.5417,-117.5917,16.94,365
USR0000CBDR,40.0181,-105.3614,8.53,365
USR0000CBDY,35.8644,-120.8031,15.15,365
USR0000CBEA,35.8842,-118.0517,7.36,364
USR0000CBEN,37.8431,-118.4778,11.02,365
USR0000CBEU,33.9306,-116.95,16.18,365
USR0000CBEV,34.125,-118.4122,17.49,365
USR0000CBGR,39.3975,-121.3861,16.73,365
USR0000CBIG,37.0203,-106.2006,0.63,146
USR0000CBIH,41.0975,-123.6358,3,318
USR0000CBIP,34.3789,-117.6919,9.85,365
USR0000CBIR,38.0394,-122.57,14.67,365
USR0000CBKD,37.95,-121.8844,15.56,353
USR0000CBLA,38.5428,-107.6869,5.72,365
USR0000CBLD,41.0547,-120.3375,7.14,365
USR0000CBLK,37.8617,-105.2842,6.66,365
USR0000CBLQ,41.2694,-123.1875,7.93,284
USR0000CBLT,38.5908,-120.9336,16.03,365
USR0000CBLU,37.7978,-106.7792,1.66,365
USR0000CBNL,37.1317,-122.17,13.79,365
USR0000CBOG,40.5981,-121.0831,5.47,365
USR0000CBOO,38.9875,-123.3486,13.94,365
USR0000CBPI,34.3194,-117.0131,9,365
USR0000CBR4,38.2719,-119.2892,8.02,365
USR0000CBRA,35.1889,-120.0833,14.05,365
USR0000CBRF,41.295,-120.3133,7.02,365
USR0000CBRI,37.9442,-122.1178,14.52,365
